العاملين في القطاع الخاص ,,,,,,,,,,المنشأت في القطاع الخاص ,,,,,,,,,
تصنيف العاملين في القطلاع الخاص (سعودي/غير سعودي),,,,,,تصنيف العاملين في القطاع الخاص حسب المهنة,,,,تصنيف المنشآت حسب النوع (رئيسي/فرعي),,,,,تصنيف المنشآت في القطاع الخاص حسب عدة ابعاد ,,,,
سعودي,," 2,316,565 ",,,,المهنة,اجمالي العاملين,,,نوع المنشآة,,العدد,,,المنطقة, النشاط الاقتصادي,حجم المنشأة,لون النطاق,عدد المنشأت 
,,,,,,أخصائي الاستعاضةالسنية,0,,,,,,,,تبوك,التشييد,صغيرة (فئة ب),احمر,124
,,,,,,أخصائي البنية التحتية,39,,,,,,,,تبوك,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,1
,,,,,,اخصائي التحول الالكتروني,82,,,,,,,,تبوك,التعليم,صغيرة (فئة ب),احمر,5
,,,,,,أخصائي التزام,853,,,,,,,,تبوك,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,41
,,,,,,أخصائي التزام في أمن سيبراني,71,,,,,,,,تبوك,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,12
,,,,,,أخصائي التفويض المسبق للتغطية بالتأمين الطبي,21,,,,,,,,تبوك,الصناعة التحويلية,صغيرة (فئة ب),احمر,94
,,,,,,أخصائي أمراض اللثة,7,,,,,,,,تبوك,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,3
,,,,,,أخصائي أمراض نطق و تخاطب,1,,,,,,,,تبوك,النقل والتخزين,صغيرة (فئة ب),احمر,25
,,,,,,أخصائي أمراض نطق وسمع,302,,,,,,,,تبوك,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,524
,,,,,,اخصائي أمن المعلومات,226,,,,,,,,جازان,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,51
,,,,,,أخصائي أمن بيانات,346,,,,,,,,جازان,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,39
,,,,,,أخصائي أمن سيبراني,1143,,,,,,,,جازان,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,300
,,,,,,أخصائي أمني,1718,,,,,,,,جازان,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,8
