السنة,السنة ميلادي,المنطقة الإدارية,الإدارة العامة بمنطقة/محافظة,إدارة التعليم,المرحلة ,السلطة,مكتب التعليم,جنس المدرسة, جملة سعودي,جملة غير سعودي, جملة طلاب
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,عالمي وأجنبي,مكتب التعليم برفحاء,بنات,135,76,211
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,عالمي وأجنبي,مكتب التعليم برفحاء,بنين,0,0,0
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,أهلي,إدارة الإشراف التربوي,بنات,367,38,405
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,أهلي,إدارة الإشراف التربوي,بنين,642,79,721
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,أهلي,مكتب التعليم برفحاء,بنات,161,7,168
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,أهلي,مكتب التعليم برفحاء,بنين,373,33,406
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,أهلي,مكتب التعليم بطريف,بنين,14,0,14
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,حكومي,إدارة الإشراف التربوي,بنات,4779,438,5217
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,حكومي,إدارة الإشراف التربوي,بنين,4807,393,5200
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,حكومي,مكتب التعليم برفحاء,بنات,2061,191,2252
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,حكومي,مكتب التعليم برفحاء,بنين,1945,173,2118
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,حكومي,مكتب التعليم بطريف,بنات,1463,133,1596
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,حكومي,مكتب التعليم بطريف,بنين,1531,136,1667
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,حكومي,مكتب التعليم بمحافظة العويقيلة,بنات,466,26,492
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,حكومي,مكتب التعليم بمحافظة العويقيلة,بنين,509,37,546
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الثانوية,عالمي وأجنبي,إدارة الإشراف التربوي,بنين,0,0,0
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة المتوسطة,أهلي,إدارة الإشراف التربوي,بنات,133,15,148
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة المتوسطة,أهلي,إدارة الإشراف التربوي,بنين,425,45,470
